1. Are you a smart contract practitioner?,2.  What is your main role as a smart contract practitioner?,3. How many years of experience do you have in Solidity smart contract development/Testing/project management/research/others?,4. What country do you currently reside in?,"5. Which of the following Ethereum crypto APIs have you used? (Multiple Choice). In this survey, ""Ethereum crypto APIs"" refers to the crypto-related opcodes/precompiled contracts supported by Ethereum.",6. Which of the following cryptographic primitives in smart contracts are you familiar with?,7. Do you believe that accomplishing cryptographic tasks (such as signature verification) is more challenging than other common programming tasks in smart contracts?,"8.  Why do you think implementing cryptographic tasks is more challenging, or different from other common tasks in smart contracts?",9. Have you encountered the following obstacles while accomplishing cryptographic tasks?,10. How do you obtain required knowledge for cryptographic tasks in smart contracts? (Multiple Choice),"11. For cryptographic tasks that have available templates (for example, Signature have been implemented in  OpenZeppelin ECDSA and many other templates), do you prefer to use existing templates or implement them from scratch?","12. Are there any cryptographic tasks that you want to accomplish but currently lack available templates? If yes, please list them below. Otherwise, please skip this question.","13. Do you think current Ethereum crypto APIs are good enough to support all your cryptographic tasks, in terms of functionality and usability? Please rate them on a scale of 1-5. (1) Functionality of the APIs cover all functionalities I needed? (2) Usability: Are the APIs easy to understand & use, with easily accessable documentation? [Functionality]","13. Do you think current Ethereum crypto APIs are good enough to support all your cryptographic tasks, in terms of functionality and usability? Please rate them on a scale of 1-5. (1) Functionality of the APIs cover all functionalities I needed? (2) Usability: Are the APIs easy to understand & use, with easily accessable documentation? [Usability]","14.  Are there any cryptographic tasks that you wish to accomplish, but are currently unsupported by Ethereum's crypto APIs?  If yes, please list them below. Otherwise, please skip this question.",15. Do you think ensuring the security of cryptographic implementations is more challenging than securing other parts of a smart contract?,"16.  Why do you think securing cryptographic Implementations is more challenging, or different from other common programming tasks?",17. Which of the following crypto-related vulnerabilities in the Smart Contract Weakness Classification (SWC) list are you familiar with? (Multiple Choice),18. Do you think the following types of tools / resources are good enough to support secure and efficient implementations of cryptographic tasks?  Please rate them on a scale of 1 to 5.  [Solidity and Ethereum documentation],"18. Do you think the following types of tools / resources are good enough to support secure and efficient implementations of cryptographic tasks?  Please rate them on a scale of 1 to 5.  [Audited templates, e.g., Openzepplin's templates]",18. Do you think the following types of tools / resources are good enough to support secure and efficient implementations of cryptographic tasks?  Please rate them on a scale of 1 to 5.  [Testing tools],18. Do you think the following types of tools / resources are good enough to support secure and efficient implementations of cryptographic tasks?  Please rate them on a scale of 1 to 5.  [Security audit tools],"19. In addition to the four types of tools/resources mentioned in the previous question, are there any other types of support you desire? If yes, please list them below. Otherwise, please skip this question."
Yes,Research,0.5,China,None of them,"Hash (including KECCAK256/SHA3, SHA2-256, RIPEMD-160, etc)",I don't understand the question (Go to Question 9),,"Security obstacle. For example, I am uncertain whether my implementation is secure.","Official documents, such as Solidity documents / white papers┋online tutorials / blogs┋Q&A sites, such as Stack Overflow","It depends on the complexity of the cryptographic task. For complex tasks, I use existing templates",,(Good),(Neutrality),,"They are basically the same, but lie in different aspects (Go to Question 16)",,SWC-120: Weak Sources of Randomness from Chain Attributes (https://swcregistry.io/docs/SWC-120);SWC-133: Hash Collisions With Multiple Variable Length Arguments (https://swcregistry.io/docs/SWC -133),(Neutrality),(Neutrality),(Good),(Good),
Yes,Research,1.1,China,KECCAK256 / SHA3 (https://www.evm.codes/#20);SHA256 (https://www.evm.codes/precompiled#0x02),"Hash (including KECCAK256/SHA3, SHA2-256, RIPEMD-160, etc);Signature (including ECDSA, etc.)",I don't understand the question (Go to Question 9),,"Roadmap identification obstacles. For example, I struggle with identifying the appropriate template/crypto API to use.","Official documents, such as Solidity documents/white papers; Documents of template providers, such as OpenZepplin documents",,,(Good),(Good),,No (Go to Question 17),,SWC-120: Weak Sources of Randomness from Chain Attributes (https://swcregistry.io/docs/SWC-120);SWC-121: Missing Protection against Signature Replay Attacks (https://swcregistry.io/docs/SWC- 121);SWC-122: Lack of Proper Signature Verification (https://swcregistry.io/docs/SWC-122);SWC-133: Hash Collisions With Multiple Variable Length Arguments (https://swcregistry.io/docs/ SWC-133),(Neutrality),(Neutrality),(Neutrality),(Neutrality),
Yes,Research,0.5,China,None of them,"Hash (including KECCAK256/SHA3, SHA2-256, RIPEMD-160, etc);Signature (including ECDSA, etc.)",No (Go to Question 9),,"Knowledge obstacles. For example, I don't understand the basic concepts and principles in cryptography/blockchain fileds.┋Roadmap identification obstacles. For example, I struggle with identifying the appropriate template/crypto API to use.; Template usage obstacles. For example, I encounter issues when trying to reuse the OpenZepplin's Library.┋Ethereum crypto API usage obstacles. For example, I encounter issues when trying to directly call the Ethereum precompiled contracts such as ecRecover.","Official documents, such as Solidity documents/white papers; Template provider documents, such as OpenZepplin documents; Online tutorials/blogs┋Q&A websites, such as Stack Overflow",I usually use existing templates,,(Neutrality),(Neutrality),,No (Go to Question 17),,SWC-117: Signature Malleability (https://swcregistry.io/docs/SWC-117),(Neutrality),(Neutrality),(Neutrality),(Neutrality),
Yes,Research,1,China,KECCAK256 / SHA3 (https://www.evm.codes/#20);SHA256 (https://www.evm.codes/precompiled#0x02),"Hash (including KECCAK256/SHA3, SHA2-256, RIPEMD-160, etc);Signature (including ECDSA, etc.)┋Zero-knowledge Proof (including Plonk, etc.)","They are basically the same, but lie in different aspects (Go to Question 8)",Both rely on different domain knowledge rather than common computer fundamentals,"Roadmap identification obstacles. For example, I struggle with identifying the appropriate template/crypto API to use.;Security obstacle. For example, I am uncertain whether my implementation is secure.","Official documents, such as Solidity documents/white papers; Template provider documents, such as OpenZepplin documents; Online tutorials/blogs┋Q&A websites, such as Stack Overflow",I usually use existing templates,,(Good),(Neutrality),,No (Go to Question 17),,SWC-121: Missing Protection against Signature Replay Attacks (https://swcregistry.io/docs/SWC-121);SWC-122: Lack of Proper Signature Verification (https://swcregistry.io/docs/SWC-122),(Good),(Good),(Neutrality),(Neutrality),
Yes,Research,3,China,KECCAK256 / SHA3 (https://www.evm.codes/#20)┋ecRecover (https://www.evm.codes/precompiled#0x01);SHA256 (https://www.evm.codes/precompiled#0x02 ),"Hash (including KECCAK256/SHA3, SHA2-256, RIPEMD-160, etc);Signature (including ECDSA, etc.)┋Zero-knowledge Proof (including Plonk, etc.)",Yes (Go to Question 8),"The background knowledge does not meet, it is difficult to avoid security issues","Knowledge obstacles. For example, I don't understand the basic concepts and principles in cryptography/blockchain fileds.┋Roadmap identification obstacles. For example, I struggle with identifying the appropriate template/crypto API to use.;Security obstacle. For example, I am uncertain whether my implementation is secure.","Official documents, such as Solidity documents/white papers; Template provider documents, such as OpenZepplin documents; Online tutorials/blogs┋Q&A websites, such as Stack Overflow",I usually use existing templates,,(Good),(Neutrality),,No (Go to Question 17),,SWC-117: Signature Malleability (https://swcregistry.io/docs/SWC-117);SWC-120: Weak Sources of Randomness from Chain Attributes (https://swcregistry.io/docs/SWC-120);SWC-121: Missing Protection against Signature Replay Attacks (https://swcregistry.io/docs/SWC-121);SWC-133: Hash Collisions With Multiple Variable Length Arguments (https://swcregistry.io/docs/SWC-133 ),(Good),(Good),(Bad),(Bad),
Yes,Testing,0.8,China,KECCAK256 / SHA3 (https://www.evm.codes/#20);SHA256 (https://www.evm.codes/precompiled#0x02),"Hash (including KECCAK256/SHA3, SHA2-256, RIPEMD-160, etc);Signature (including ECDSA, etc.)┋Zero-knowledge Proof (including Plonk, etc.)",Yes (Go to Question 8),Long learning time and difficult to understand,"Knowledge obstacles. For example, I don't understand the basic concepts and principles in cryptography/blockchain fileds.┋Roadmap identification obstacles. For example, I struggle with identifying the appropriate template/crypto API to use.;Security obstacle. For example, I am uncertain whether my implementation is secure.","Official documents, such as Solidity documents/white papers; Template provider documents, such as OpenZepplin documents; Online tutorials/blogs┋Q&A websites, such as Stack Overflow; Technical books/papers","It depends on the complexity of the cryptographic task. For complex tasks, I use existing templates",,(Neutrality),(Bad),,Yes (Go to Question 16),Long learning time and difficult to understand,SWC-117: Signature Malleability (https://swcregistry.io/docs/SWC-117);SWC-120: Weak Sources of Randomness from Chain Attributes (https://swcregistry.io/docs/SWC-120);SWC-121: Missing Protection against Signature Replay Attacks (https://swcregistry.io/docs/SWC-121);SWC-122: Lack of Proper Signature Verification (https://swcregistry.io/docs/SWC-122);SWC-133: Hash Collisions With Multiple Variable Length Arguments (https://swcregistry.io/docs/SWC-133),(Good),(Neutrality),(Bad),(Bad),
Yes,Research,1,China,SHA256 (https://www.evm.codes/precompiled#0x02),"Hash (including KECCAK256/SHA3, SHA2-256, RIPEMD-160, etc)",Yes (Go to Question 8),Encryption complexity is too high,"Ethereum crypto API usage obstacles. For example, I encounter issues when trying to directly call the Ethereum precompiled contracts such as ecRecover.;Security obstacle. For example, I am uncertain whether my implementation is secure.","Q&A sites, such as Stack Overflow; Technical books/papers",I usually use existing templates,,(Good),(Neutrality),,"They are basically the same, but lie in different aspects (Go to Question 16)",,None of them,(Neutrality),(Neutrality),(Neutrality),(Neutrality),
Yes,Research,6,China,KECCAK256 / SHA3 (https://www.evm.codes/#20)┋ecRecover (https://www.evm.codes/precompiled#0x01);SHA256 (https://www.evm.codes/precompiled#0x02 ),"Hash (including KECCAK256/SHA3, SHA2-256, RIPEMD-160, etc);Signature (including ECDSA, etc.)┋Zero-knowledge Proof (including Plonk, etc.)",Yes (Go to Question 8),Cryptography tasks require more relevant knowledge,"Knowledge obstacles. For example, I don't understand the basic concepts and principles in cryptography/blockchain fileds.┋Roadmap identification obstacles. For example, I struggle with identifying the appropriate template/crypto API to use.; Template usage obstacles. For example, I encounter issues when trying to reuse the OpenZepplin's Library.┋Ethereum crypto API usage obstacles. For example, I encounter issues when trying to directly call the Ethereum precompiled contracts such as ecRecover.;Security obstacle. For example, I am uncertain whether my implementation is secure.","Official documents, such as Solidity documents/white papers; Template provider documents, such as OpenZepplin documents; Online tutorials/blogs┋Q&A websites, such as Stack Overflow",I usually use existing templates,,(Neutrality),(Neutrality),,Yes (Go to Question 16),,SWC-117: Signature Malleability (https://swcregistry.io/docs/SWC-117);SWC-120: Weak Sources of Randomness from Chain Attributes (https://swcregistry.io/docs/SWC-120);SWC-121: Missing Protection against Signature Replay Attacks (https://swcregistry.io/docs/SWC-121);SWC-122: Lack of Proper Signature Verification (https://swcregistry.io/docs/SWC-122);SWC-133: Hash Collisions With Multiple Variable Length Arguments (https://swcregistry.io/docs/SWC-133),(Good),(Good),(Bad),(Bad),
Yes,Research,1,China,None of them,"Hash (including KECCAK256/SHA3, SHA2-256, RIPEMD-160, etc);Signature (including ECDSA, etc.)",I don't understand the question (Go to Question 9),,"Roadmap identification obstacles. For example, I struggle with identifying the appropriate template/crypto API to use.",I don't understand the question,I don't understand the question.,,,,,I don't understand the question (Go to Question 17),,SWC-120: Weak Sources of Randomness from Chain Attributes (https://swcregistry.io/docs/SWC-120),,,,,
Yes,Research,2,China,KECCAK256 / SHA3 (https://www.evm.codes/#20),I don't understand the question,No (Go to Question 9),,None of them.,,,,(Very Good),(Good),,No (Go to Question 17),,None of them,(Good),(Good),(Good),(Good),
Yes,Research,0.8,China,KECCAK256 / SHA3 (https://www.evm.codes/#20);SHA256 (https://www.evm.codes/precompiled#0x02),"Hash (including KECCAK256/SHA3, SHA2-256, RIPEMD-160, etc);Signature (including ECDSA, etc.)┋Zero-knowledge Proof (including Plonk, etc.)",No (Go to Question 9),,"Roadmap identification obstacles. For example, I struggle with identifying the appropriate template/crypto API to use.; Template usage obstacles. For example, I encounter issues when trying to reuse the OpenZepplin's Library.","Official documents, such as Solidity documents/white papers; Template provider documents, such as OpenZepplin documents; Online tutorials/blogs┋Q&A websites, such as Stack Overflow","I usually use existing templates; It depends on the complexity of the cryptographic task. For simple tasks, I choose to use existing templates",,(Neutrality),(Neutrality),,No (Go to Question 17),,SWC-117: Signature Malleability (https://swcregistry.io/docs/SWC-117);SWC-121: Missing Protection against Signature Replay Attacks (https://swcregistry.io/docs/SWC-121);SWC-122: Lack of Proper Signature Verification (https://swcregistry.io/docs/SWC-122),(Neutrality),(Neutrality),(Neutrality),(Neutrality),
Yes,Testing,3.5,China,KECCAK256 / SHA3 (https://www.evm.codes/#20)┋ecRecover (https://www.evm.codes/precompiled#0x01);SHA256 (https://www.evm.codes/precompiled#0x02 )┋ECADD (https://www.evm.codes/precompiled#0x06),"Hash (including KECCAK256/SHA3, SHA2-256, RIPEMD-160, etc);Signature (including ECDSA, etc.)","They are basically the same, but lie in different aspects (Go to Question 8)",,"Knowledge obstacles. For example, I don't understand the basic concepts and principles in cryptography/blockchain fileds.","Official documents, such as Solidity documents/white papers; Template provider documents, such as OpenZepplin documents; Online tutorials/blogs┋Q&A websites, such as Stack Overflow; Technical books/papers","It depends on the complexity of the cryptographic task. For simple tasks, I choose to use existing templates",,,,,No (Go to Question 17),,SWC-117: Signature Malleability (https://swcregistry.io/docs/SWC-117);SWC-120: Weak Sources of Randomness from Chain Attributes (https://swcregistry.io/docs/SWC-120);SWC-121: Missing Protection against Signature Replay Attacks (https://swcregistry.io/docs/SWC-121);SWC-122: Lack of Proper Signature Verification (https://swcregistry.io/docs/SWC-122);SWC-133: Hash Collisions With Multiple Variable Length Arguments (https://swcregistry.io/docs/SWC-133),(Neutrality),(Neutrality),(Bad),(Bad),
Yes,Research,4,China,None of them,"Hash (including KECCAK256/SHA3, SHA2-256, RIPEMD-160, etc);Signature (including ECDSA, etc.)┋Zero-knowledge Proof (including Plonk, etc.)",Yes (Go to Question 8),Additional cryptography knowledge required,"Roadmap identification obstacles. For example, I struggle with identifying the appropriate template/crypto API to use.","Official documents, such as Solidity documents/white papers; Documents of template providers, such as OpenZepplin documents; Online tutorials/blogs; Technical books/papers","I usually use existing templates; It depends on the complexity of the cryptographic task. For simple tasks, I choose to use existing templates",,,,,"They are basically the same, but lie in different aspects (Go to Question 16)",,SWC-117: Signature Malleability (https://swcregistry.io/docs/SWC-117);SWC-122: Lack of Proper Signature Verification (https://swcregistry.io/docs/SWC-122),,,,,
Yes,Development,2.5,China,KECCAK256 / SHA3 (https://www.evm.codes/#20),"Hash (including KECCAK256/SHA3, SHA2-256, RIPEMD-160, etc);Signature (including ECDSA, etc.)",Yes (Go to Question 8),High basic requirements,"Knowledge obstacles. For example, I don't understand the basic concepts and principles in cryptography/blockchain fileds.; Template usage obstacles. For example, I encounter issues when trying to reuse the OpenZepplin's Library.","Official documentation, e.g. Solidity docs/whitepapers",I usually use existing templates,,(Good),(Good),,Yes (Go to Question 16),High basic requirements,SWC-117: Signature Malleability (https://swcregistry.io/docs/SWC-117);SWC-120: Weak Sources of Randomness from Chain Attributes (https://swcregistry.io/docs/SWC-120),(Good),(Good),(Good),(Good),
Yes,Research,1,China,KECCAK256 / SHA3 (https://www.evm.codes/#20);SHA256 (https://www.evm.codes/precompiled#0x02),"Hash (including KECCAK256/SHA3, SHA2-256, RIPEMD-160, etc);Signature (including ECDSA, etc.)┋Zero-knowledge Proof (including Plonk, etc.)",No (Go to Question 9),1,"Knowledge obstacles. For example, I don't understand the basic concepts and principles in cryptography/blockchain fileds.┋Roadmap identification obstacles. For example, I struggle with identifying the appropriate template/crypto API to use.; Template usage obstacles. For example, I encounter issues when trying to reuse the OpenZepplin's Library.┋Ethereum crypto API usage obstacles. For example, I encounter issues when trying to directly call the Ethereum precompiled contracts such as ecRecover.;Security obstacle. For example, I am uncertain whether my implementation is secure.","Official documents, such as Solidity documents/white papers; Template provider documents, such as OpenZepplin documents┋Q&A websites, such as Stack Overflow",I don't understand the question.,,(Good),(Good),,"They are basically the same, but lie in different aspects (Go to Question 16)",1,SWC-117: Signature Malleability (https://swcregistry.io/docs/SWC-117),(Very Good),(Good),(Good),(Good),
Yes,Research,2.5,China,SHA256 (https://www.evm.codes/precompiled#0x02),"Hash (including KECCAK256/SHA3, SHA2-256, RIPEMD-160, etc);Signature (including ECDSA, etc.)┋Zero-knowledge Proof (including Plonk, etc.)","They are basically the same, but lie in different aspects (Go to Question 8)",Theoretical questions,"Knowledge obstacles. For example, I don't understand the basic concepts and principles in cryptography/blockchain fileds.┋Roadmap identification obstacles. For example, I struggle with identifying the appropriate template/crypto API to use.;Security obstacle. For example, I am uncertain whether my implementation is secure.","Official documents, such as Solidity documents/white papers; Documents of template providers, such as OpenZepplin documents; Online tutorials/blogs; Technical books/papers","It depends on the complexity of the cryptographic task. For complex tasks, I use existing templates",,(Neutrality),(Neutrality),,"They are basically the same, but lie in different aspects (Go to Question 16)",theoretical difficulties,SWC-122: Lack of Proper Signature Verification (https://swcregistry.io/docs/SWC-122);SWC-133: Hash Collisions With Multiple Variable Length Arguments (https://swcregistry.io/docs/SWC-133 ),(Neutrality),(Neutrality),(Neutrality),(Neutrality),
Yes,Research,2.8,China,KECCAK256 / SHA3 (https://www.evm.codes/#20)┋ecRecover (https://www.evm.codes/precompiled#0x01),"Hash (including KECCAK256/SHA3, SHA2-256, RIPEMD-160, etc);Signature (including ECDSA, etc.)┋Zero-knowledge Proof (including Plonk, etc.)",No (Go to Question 9),,"Security obstacle. For example, I am uncertain whether my implementation is secure.","Official documents, such as Solidity documents/white papers; Template provider documents, such as OpenZepplin documents; Online tutorials/blogs┋Q&A websites, such as Stack Overflow; Technical books/papers",I usually use existing templates,no,(Good),(Good),no,No (Go to Question 17),,SWC-120: Weak Sources of Randomness from Chain Attributes (https://swcregistry.io/docs/SWC-120);SWC-133: Hash Collisions With Multiple Variable Length Arguments (https://swcregistry.io/docs/SWC -133),(Good),(Good),(Good),(Good),no
Yes,Research,0.5,China,None of them,"Hash (including KECCAK256/SHA3, SHA2-256, RIPEMD-160, etc)",Yes (Go to Question 8),understand the principle,"Knowledge obstacles. For example, I don't understand the basic concepts and principles in cryptography/blockchain fileds.;Security obstacle. For example, I am uncertain whether my implementation is secure.","Official documents, such as Solidity documents / white papers┋online tutorials / blogs","It depends on the complexity of the cryptographic task. For simple tasks, I choose to use existing templates",,(Good),(Good),,No (Go to Question 17),,SWC-117: Signature Malleability (https://swcregistry.io/docs/SWC-117);SWC-120: Weak Sources of Randomness from Chain Attributes (https://swcregistry.io/docs/SWC-120);SWC-121: Missing Protection against Signature Replay Attacks (https://swcregistry.io/docs/SWC-121);SWC-122: Lack of Proper Signature Verification (https://swcregistry.io/docs/SWC-122);SWC-133: Hash Collisions With Multiple Variable Length Arguments (https://swcregistry.io/docs/SWC-133),(Good),(Good),(Good),(Neutrality),
Yes,Development,1.5,China,KECCAK256 / SHA3 (https://www.evm.codes/#20)┋ecRecover (https://www.evm.codes/precompiled#0x01);SHA256 (https://www.evm.codes/precompiled#0x02 )┋ModExp (https://www.evm.codes/precompiled#0x05),"Hash (including KECCAK256/SHA3, SHA2-256, RIPEMD-160, etc);Signature (including ECDSA, etc.)",Yes (Go to Question 8),"The requirements for mathematics are higher, and the industry is relatively early, and safety practices are in the exploratory stage, and there will be certain concerns about safety",,"Official documents, such as Solidity documents/white papers; Documents of template providers, such as OpenZepplin documents; Online tutorials/blogs; Technical books/papers",I usually use existing templates,,(Bad),(Neutrality),,Yes (Go to Question 16),"The requirements for mathematics and professionalism are very high, while the security of other parts of the contract may be more biased towards business logic, focusing more on logic rather than mathematical design",SWC-117: Signature Malleability (https://swcregistry.io/docs/SWC-117);SWC-120: Weak Sources of Randomness from Chain Attributes (https://swcregistry.io/docs/SWC-120);SWC-121: Missing Protection against Signature Replay Attacks (https://swcregistry.io/docs/SWC-121);SWC-122: Lack of Proper Signature Verification (https://swcregistry.io/docs/SWC-122);SWC-133: Hash Collisions With Multiple Variable Length Arguments (https://swcregistry.io/docs/SWC-133),(Neutrality),(Neutrality),(Good),(Neutrality),"The functions of development tools such as LSP/editor plugin are still weak, and the deployment/management tools of contract projects are not yet mature"
Yes,Research,2.5,China,KECCAK256 / SHA3 (https://www.evm.codes/#20)┋ecRecover (https://www.evm.codes/precompiled#0x01),"Hash (including KECCAK256/SHA3, SHA2-256, RIPEMD-160, etc);Signature (including ECDSA, etc.)┋Zero-knowledge Proof (including Plonk, etc.)",I don't understand the question (Go to Question 9),,"Knowledge obstacles. For example, I don't understand the basic concepts and principles in cryptography/blockchain fileds.┋Roadmap identification obstacles. For example, I struggle with identifying the appropriate template/crypto API to use.; Template usage obstacles. For example, I encounter issues when trying to reuse the OpenZepplin's Library.┋Ethereum crypto API usage obstacles. For example, I encounter issues when trying to directly call the Ethereum precompiled contracts such as ecRecover.","Official documents, such as Solidity documents/white papers; Documents of template providers, such as OpenZepplin documents","It depends on the complexity of the cryptographic task. For complex tasks, I use existing templates; It depends on the complexity of the cryptographic task. For simple tasks, I choose to use existing templates",,(Neutrality),(Neutrality),,"They are basically the same, but lie in different aspects (Go to Question 16)",,SWC-117: Signature Malleability (https://swcregistry.io/docs/SWC-117);SWC-120: Weak Sources of Randomness from Chain Attributes (https://swcregistry.io/docs/SWC-120);SWC-121: Missing Protection against Signature Replay Attacks (https://swcregistry.io/docs/SWC-121);SWC-122: Lack of Proper Signature Verification (https://swcregistry.io/docs/SWC-122);SWC-133: Hash Collisions With Multiple Variable Length Arguments (https://swcregistry.io/docs/SWC-133),(Neutrality),(Neutrality),(Neutrality),(Neutrality),
Yes,Research,1.7,China,KECCAK256 / SHA3 (https://www.evm.codes/#20)┋ecRecover (https://www.evm.codes/precompiled#0x01)┋ModExp (https://www.evm.codes/precompiled#0x05) )┋ECADD (https://www.evm.codes/precompiled#0x06)┋ECMUL (https://www.evm.codes/precompiled#0x07),"Hash (including KECCAK256/SHA3, SHA2-256, RIPEMD-160, etc);Signature (including ECDSA, etc.)┋Zero-knowledge Proof (including Plonk, etc.)",No (Go to Question 9),,"Roadmap identification obstacles. For example, I struggle with identifying the appropriate template/crypto API to use.;Security obstacle. For example, I am uncertain whether my implementation is secure.","Official documents, such as Solidity documents/white papers; Template provider documents, such as OpenZepplin documents; Online tutorials/blogs┋Q&A websites, such as Stack Overflow; Technical books/papers","It depends on the complexity of the cryptographic task. For complex tasks, I use existing templates; It depends on the complexity of the cryptographic task. For simple tasks, I choose to use existing templates",,(Neutrality),(Neutrality),,No (Go to Question 17),,SWC-120: Weak Sources of Randomness from Chain Attributes (https://swcregistry.io/docs/SWC-120);SWC-122: Lack of Proper Signature Verification (https://swcregistry.io/docs/SWC-122 );SWC-133: Hash Collisions With Multiple Variable Length Arguments (https://swcregistry.io/docs/SWC-133),(Neutrality),(Neutrality),(Good),(Good),
Yes,Research,2.2,China,KECCAK256 / SHA3 (https://www.evm.codes/#20);SHA256 (https://www.evm.codes/precompiled#0x02),"Hash (including KECCAK256/SHA3, SHA2-256, RIPEMD-160, etc);Signature (including ECDSA, etc.)┋Zero-knowledge Proof (including Plonk, etc.)",No (Go to Question 9),,,"Official documents, such as Solidity documents/white papers┋template provider documents, such as OpenZepplin documents; Online tutorials/blogs",I usually use existing templates,,(Good),(Good),,No (Go to Question 17),,I don't understand the question.,(Neutrality),(Good),(Neutrality),(Good),
Yes,Research,1,China,KECCAK256 / SHA3 (https://www.evm.codes/#20);SHA256 (https://www.evm.codes/precompiled#0x02),"Hash (including KECCAK256/SHA3, SHA2-256, RIPEMD-160, etc);Signature (including ECDSA, etc.)",Yes (Go to Question 8),math problems,"Knowledge obstacles. For example, I don't understand the basic concepts and principles in cryptography/blockchain fileds.","Official documents, such as Solidity documents/white papers; Template provider documents, such as OpenZepplin documents; Online tutorials/blogs┋Q&A websites, such as Stack Overflow",I usually use existing templates,,(Good),(Good),,Yes (Go to Question 16),Evidence in mathematics is required,SWC-117: Signature Malleability (https://swcregistry.io/docs/SWC-117);SWC-120: Weak Sources of Randomness from Chain Attributes (https://swcregistry.io/docs/SWC-120);SWC-121: Missing Protection against Signature Replay Attacks (https://swcregistry.io/docs/SWC-121);SWC-122: Lack of Proper Signature Verification (https://swcregistry.io/docs/SWC-122);SWC-133: Hash Collisions With Multiple Variable Length Arguments (https://swcregistry.io/docs/SWC-133),(Bad),(Neutrality),(Neutrality),(Good),
Yes,Research,5.5,China,KECCAK256 / SHA3 (https://www.evm.codes/#20);SHA256 (https://www.evm.codes/precompiled#0x02),"Hash (including KECCAK256/SHA3, SHA2-256, RIPEMD-160, etc);Signature (including ECDSA, etc.)┋Zero-knowledge Proof (including Plonk, etc.)",Yes (Go to Question 8),"The algorithms involved in cryptography programming tasks are complex. Although there are some third-party libraries that can be relied upon, many functions need to be added to these libraries to realize the tasks.","Roadmap identification obstacles. For example, I struggle with identifying the appropriate template/crypto API to use.;Security obstacle. For example, I am uncertain whether my implementation is secure.","Official documents, such as Solidity documents/white papers; Template provider documents, such as OpenZepplin documents; Online tutorials/blogs┋Q&A websites, such as Stack Overflow",I usually use existing templates,,(Neutrality),(Neutrality),,Yes (Go to Question 16),Cryptography to achieve security confirmation needs to rely on rich mathematical knowledge for reasoning,SWC-117: Signature Malleability (https://swcregistry.io/docs/SWC-117);SWC-120: Weak Sources of Randomness from Chain Attributes (https://swcregistry.io/docs/SWC-120);SWC-121: Missing Protection against Signature Replay Attacks (https://swcregistry.io/docs/SWC-121);SWC-122: Lack of Proper Signature Verification (https://swcregistry.io/docs/SWC-122);SWC-133: Hash Collisions With Multiple Variable Length Arguments (https://swcregistry.io/docs/SWC-133),(Neutrality),(Neutrality),(Bad),(Bad),
Yes,Research,0.6,China,KECCAK256 / SHA3 (https://www.evm.codes/#20),"Hash (including KECCAK256/SHA3, SHA2-256, RIPEMD-160, etc);Signature (including ECDSA, etc.)┋Zero-knowledge Proof (including Plonk, etc.)",I don't understand the question (Go to Question 9),,"Roadmap identification obstacles. For example, I struggle with identifying the appropriate template/crypto API to use.;Security obstacle. For example, I am uncertain whether my implementation is secure.","Official documents, such as Solidity documents/white papers; Template provider documents, such as OpenZepplin documents; Online tutorials/blogs┋Q&A websites, such as Stack Overflow",I usually use existing templates,,(Good),(Neutrality),,I don't understand the question (Go to Question 17),,None of them,(Good),(Neutrality),(Bad),(Bad),
Yes,Research,1,China,KECCAK256 / SHA3 (https://www.evm.codes/#20);SHA256 (https://www.evm.codes/precompiled#0x02),"Hash (including KECCAK256/SHA3, SHA2-256, RIPEMD-160, etc);Signature (including ECDSA, etc.)",Yes (Go to Question 8),Cryptography involves more mathematical proofs,"Roadmap identification obstacles. For example, I struggle with identifying the appropriate template/crypto API to use.; Template usage obstacles. For example, I encounter issues when trying to reuse the OpenZepplin's Library.","Official documents, such as Solidity documents/white papers; Template provider documents, such as OpenZepplin documents; Online tutorials/blogs┋Q&A websites, such as Stack Overflow; Technical books/papers",I usually use existing templates,,(Good),(Neutrality),,I don't understand the question (Go to Question 17),,None of them,(Very Good),(Good),(Good),(Very Good),
Yes,Research,1,China,KECCAK256 / SHA3 (https://www.evm.codes/#20);SHA256 (https://www.evm.codes/precompiled#0x02),"Hash (including KECCAK256/SHA3, SHA2-256, RIPEMD-160, etc);Signature (including ECDSA, etc.)┋Zero-knowledge Proof (including Plonk, etc.)",No (Go to Question 9),,"Template usage obstacles. For example, I encounter issues when trying to reuse the OpenZepplin's Library.┋Ethereum crypto API usage obstacles. For example, I encounter issues when trying to directly call the Ethereum precompiled contracts such as ecRecover.;Security obstacle. For example, I am uncertain whether my implementation is secure.","Official documents, such as Solidity documents/white papers; Template provider documents, such as OpenZepplin documents; Online tutorials/blogs┋Q&A websites, such as Stack Overflow",I usually use existing templates,,(Good),(Good),,No (Go to Question 17),,SWC-117: Signature Malleability (https://swcregistry.io/docs/SWC-117);SWC-133: Hash Collisions With Multiple Variable Length Arguments (https://swcregistry.io/docs/SWC-133),(Neutrality),(Bad),(Bad),(Good),
